checking,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,other_debtors,residence,property,age,other_installments,housing,existing_credits,job,dependents,telephone,foreign,target
No checking account,30,Critical/other existing credits,Radio/TV,5771,<100 DM,4–7 years,4,Female: divorced/separated/married,None,2,Car/other,25,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,12,Delay in past,Repairs,1555,>=1000 DM,>=7 years,4,Male: single,None,4,Unknown/no property,55,None,For free,2,Skilled employee/official,2,None,Yes,Bad
< 0 DM,24,Existing paid duly,New car,1285,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,4,Unknown/no property,32,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
>= 200 DM,6,Critical/other existing credits,New car,1299,<100 DM,1–4 years,1,Male: single,None,1,Real estate,74,None,Own,3,Unemployed/unskilled non-resident,2,None,No,Good
>= 200 DM,15,Critical/other existing credits,Radio/TV,1271,Unknown/no savings,1–4 years,3,Male: single,None,4,Unknown/no property,39,None,For free,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,24,Existing paid duly,New car,1393,<100 DM,1–4 years,2,Male: single,Guarantor,2,Real estate,31,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,12,Critical/other existing credits,New car,691,<100 DM,>=7 years,4,Male: single,None,3,Building society/life insurance,35,None,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,15,Critical/other existing credits,New car,5045,Unknown/no savings,>=7 years,1,Female: divorced/separated/married,None,4,Car/other,59,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,18,Critical/other existing credits,Furniture/equipment,2124,<100 DM,1–4 years,4,Female: divorced/separated/married,None,4,Real estate,24,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
< 0 DM,12,Existing paid duly,Radio/TV,2214,<100 DM,1–4 years,4,Male: single,None,3,Building society/life insurance,24,None,Own,1,Unskilled resident,1,None,Yes,Good
No checking account,21,Critical/other existing credits,New car,12680,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,30,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,24,Critical/other existing credits,New car,2463,100–500 DM,4–7 years,4,Male: married/widowed,None,3,Building society/life insurance,27,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,1155,<100 DM,>=7 years,3,Male: married/widowed,Guarantor,3,Real estate,40,Bank,Own,2,Unskilled resident,1,None,Yes,Good
< 0 DM,30,Existing paid duly,Furniture/equipment,3108,<100 DM,<1 year,2,Male: divorced/separated,None,4,Building society/life insurance,31,None,Own,1,Unskilled resident,1,None,Yes,Bad
No checking account,10,Existing paid duly,Used car,2901,Unknown/no savings,<1 year,1,Female: divorced/separated/married,None,4,Real estate,31,None,Rent,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Critical/other existing credits,Furniture/equipment,3617,<100 DM,>=7 years,1,Male: single,None,4,Car/other,28,None,Rent,3,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Radio/TV,1655,<100 DM,>=7 years,2,Male: single,None,4,Real estate,63,None,Own,2,Unskilled resident,1,Yes,Yes,Good
< 0 DM,24,Existing paid duly,Used car,2812,Unknown/no savings,>=7 years,2,Female: divorced/separated/married,None,4,Real estate,26,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,36,Critical/other existing credits,Education,8065,<100 DM,1–4 years,3,Female: divorced/separated/married,None,2,Unknown/no property,25,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,21,Critical/other existing credits,Used car,3275,<100 DM,>=7 years,1,Male: single,None,4,Car/other,36,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,24,Critical/other existing credits,Radio/TV,2223,100–500 DM,>=7 years,4,Male: single,None,4,Building society/life insurance,52,Bank,Own,2,Skilled employee/official,1,None,Yes,Good
>= 200 DM,12,Critical/other existing credits,New car,1480,500–1000 DM,Unemployed,2,Male: single,None,4,Unknown/no property,66,Bank,For free,3,Unemployed/unskilled non-resident,1,None,Yes,Good
< 0 DM,24,Existing paid duly,New car,1371,Unknown/no savings,1–4 years,4,Female: divorced/separated/married,None,4,Real estate,25,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
No checking account,36,Critical/other existing credits,New car,3535,<100 DM,4–7 years,4,Male: single,None,4,Car/other,37,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,18,Existing paid duly,Radio/TV,3509,<100 DM,4–7 years,4,Female: divorced/separated/married,Guarantor,1,Real estate,25,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Critical/other existing credits,Used car,5711,>=1000 DM,>=7 years,4,Male: single,None,2,Car/other,38,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,18,Existing paid duly,Repairs,3872,<100 DM,Unemployed,2,Female: divorced/separated/married,None,4,Car/other,67,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,39,Critical/other existing credits,Radio/TV,4933,<100 DM,4–7 years,2,Male: single,Guarantor,2,Real estate,25,None,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Critical/other existing credits,New car,1940,>=1000 DM,>=7 years,4,Male: single,None,4,Real estate,60,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,12,No credits/all paid,Retraining,1410,<100 DM,1–4 years,2,Male: single,None,2,Real estate,31,None,Own,1,Unskilled resident,1,Yes,Yes,Good
0–200 DM,12,Existing paid duly,New car,836,100–500 DM,<1 year,4,Female: divorced/separated/married,None,2,Building society/life insurance,23,Bank,Own,1,Unskilled resident,1,None,Yes,Bad
0–200 DM,20,Existing paid duly,Used car,6468,Unknown/no savings,Unemployed,1,Male: divorced/separated,None,4,Real estate,60,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,18,Existing paid duly,Business,1941,>=1000 DM,1–4 years,4,Male: single,None,2,Building society/life insurance,35,None,Own,1,Unskilled resident,1,Yes,Yes,Good
No checking account,22,Existing paid duly,Radio/TV,2675,500–1000 DM,>=7 years,3,Male: single,None,4,Car/other,40,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,48,Critical/other existing credits,Used car,2751,Unknown/no savings,>=7 years,4,Male: single,None,3,Car/other,38,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
0–200 DM,48,Delay in past,Education,6224,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,50,None,For free,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,40,Critical/other existing credits,Education,5998,<100 DM,1–4 years,4,Male: single,None,3,Unknown/no property,27,Bank,Own,1,Skilled employee/official,1,Yes,Yes,Bad
0–200 DM,21,Existing paid duly,Business,1188,<100 DM,>=7 years,2,Female: divorced/separated/married,None,4,Building society/life insurance,39,None,Own,1,Skilled employee/official,2,None,Yes,Bad
No checking account,24,Existing paid duly,Used car,6313,Unknown/no savings,>=7 years,3,Male: single,None,4,Car/other,41,None,Own,1,Management/self-employed/highly qualified,2,Yes,Yes,Good
No checking account,6,Critical/other existing credits,Furniture/equipment,1221,Unknown/no savings,1–4 years,1,Male: married/widowed,None,2,Building society/life insurance,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
>= 200 DM,24,Existing paid duly,Furniture/equipment,2892,<100 DM,>=7 years,3,Male: divorced/separated,None,4,Unknown/no property,51,None,For free,1,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Furniture/equipment,3062,500–1000 DM,>=7 years,4,Male: single,None,3,Unknown/no property,32,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,9,Existing paid duly,Furniture/equipment,2301,100–500 DM,<1 year,2,Female: divorced/separated/married,None,4,Building society/life insurance,22,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Used car,7511,Unknown/no savings,>=7 years,1,Male: single,None,4,Building society/life insurance,51,None,For free,1,Skilled employee/official,2,Yes,Yes,Bad
No checking account,12,Critical/other existing credits,Furniture/equipment,1258,<100 DM,<1 year,2,Female: divorced/separated/married,None,4,Building society/life insurance,22,None,Rent,2,Unskilled resident,1,None,Yes,Good
No checking account,24,Delay in past,New car,717,Unknown/no savings,>=7 years,4,Male: married/widowed,None,4,Car/other,54,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,9,Existing paid duly,New car,1549,Unknown/no savings,<1 year,4,Male: single,None,2,Real estate,35,None,Own,1,Unemployed/unskilled non-resident,1,None,Yes,Good
No checking account,24,Critical/other existing credits,Education,1597,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,54,None,For free,2,Skilled employee/official,2,None,Yes,Good
0–200 DM,18,Critical/other existing credits,Radio/TV,1795,<100 DM,>=7 years,3,Female: divorced/separated/married,Guarantor,4,Real estate,48,Bank,Rent,2,Unskilled resident,1,Yes,Yes,Good
< 0 DM,20,Critical/other existing credits,Furniture/equipment,4272,<100 DM,>=7 years,1,Female: divorced/separated/married,None,4,Building society/life insurance,24,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,12,Critical/other existing credits,Radio/TV,976,Unknown/no savings,>=7 years,4,Male: single,None,4,Car/other,35,None,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,New car,7472,Unknown/no savings,Unemployed,1,Female: divorced/separated/married,None,2,Real estate,24,None,Rent,1,Unemployed/unskilled non-resident,1,None,Yes,Good
< 0 DM,36,Existing paid duly,New car,9271,<100 DM,4–7 years,2,Male: single,None,1,Car/other,24,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
0–200 DM,6,Existing paid duly,Radio/TV,590,<100 DM,<1 year,3,Male: married/widowed,None,3,Real estate,26,None,Own,1,Unskilled resident,1,None,No,Good
No checking account,12,Critical/other existing credits,Radio/TV,930,Unknown/no savings,>=7 years,4,Male: single,None,4,Real estate,65,None,Own,4,Skilled employee/official,1,None,Yes,Good
0–200 DM,42,All paid,Used car,9283,<100 DM,Unemployed,1,Male: single,None,2,Unknown/no property,55,Bank,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,15,No credits/all paid,New car,1778,<100 DM,<1 year,2,Female: divorced/separated/married,None,1,Real estate,26,None,Rent,2,Unemployed/unskilled non-resident,1,None,Yes,Bad
0–200 DM,8,Existing paid duly,Business,907,<100 DM,<1 year,3,Male: married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,6,Existing paid duly,Radio/TV,484,<100 DM,4–7 years,3,Male: married/widowed,Guarantor,3,Real estate,28,Bank,Own,1,Unskilled resident,1,None,Yes,Good
< 0 DM,36,Critical/other existing credits,Used car,9629,<100 DM,4–7 years,4,Male: single,None,4,Car/other,24,None,Own,2,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,48,Existing paid duly,Domestic appliances,3051,<100 DM,1–4 years,3,Male: single,None,4,Car/other,54,None,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,48,Existing paid duly,New car,3931,<100 DM,4–7 years,4,Male: single,None,4,Unknown/no property,46,None,For free,1,Skilled employee/official,2,None,Yes,Bad
0–200 DM,36,Delay in past,New car,7432,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Building society/life insurance,54,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,6,Existing paid duly,Domestic appliances,1338,500–1000 DM,1–4 years,1,Male: divorced/separated,None,4,Real estate,62,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,6,Critical/other existing credits,Radio/TV,1554,<100 DM,4–7 years,1,Female: divorced/separated/married,None,2,Car/other,24,None,Rent,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,36,Existing paid duly,Other,15857,<100 DM,Unemployed,2,Male: divorced/separated,Co-applicant,3,Car/other,43,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Radio/TV,1345,<100 DM,1–4 years,4,Male: married/widowed,None,3,Real estate,26,Bank,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Existing paid duly,New car,1101,<100 DM,1–4 years,3,Male: married/widowed,None,2,Real estate,27,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
>= 200 DM,12,Existing paid duly,Radio/TV,3016,<100 DM,1–4 years,3,Male: married/widowed,None,1,Car/other,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,36,Existing paid duly,Furniture/equipment,2712,<100 DM,>=7 years,2,Male: single,None,2,Building society/life insurance,41,Bank,Own,1,Skilled employee/official,2,None,Yes,Bad
< 0 DM,8,Critical/other existing credits,New car,731,<100 DM,>=7 years,4,Male: single,None,4,Real estate,47,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,18,Critical/other existing credits,Furniture/equipment,3780,<100 DM,<1 year,3,Male: divorced/separated,None,2,Car/other,35,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,21,Critical/other existing credits,New car,1602,<100 DM,>=7 years,4,Male: married/widowed,None,3,Car/other,30,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,18,Critical/other existing credits,New car,3966,<100 DM,>=7 years,1,Female: divorced/separated/married,None,4,Real estate,33,Bank,Rent,3,Skilled employee/official,1,Yes,Yes,Bad
No checking account,18,No credits/all paid,Business,4165,<100 DM,1–4 years,2,Male: single,None,2,Car/other,36,Stores,Own,2,Skilled employee/official,2,None,Yes,Bad
< 0 DM,36,Existing paid duly,Used car,8335,Unknown/no savings,>=7 years,3,Male: single,None,4,Unknown/no property,47,None,For free,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,48,Delay in past,Business,6681,Unknown/no savings,1–4 years,4,Male: single,None,4,Unknown/no property,38,None,For free,1,Skilled employee/official,2,Yes,Yes,Good
No checking account,24,Delay in past,Business,2375,500–1000 DM,1–4 years,4,Male: single,None,2,Car/other,44,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
< 0 DM,18,Existing paid duly,New car,1216,<100 DM,<1 year,4,Female: divorced/separated/married,None,3,Car/other,23,None,Rent,1,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,45,No credits/all paid,Business,11816,<100 DM,>=7 years,2,Male: single,None,4,Car/other,29,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,24,Existing paid duly,Radio/TV,5084,Unknown/no savings,>=7 years,2,Female: divorced/separated/married,None,4,Car/other,42,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
>= 200 DM,15,Existing paid duly,Radio/TV,2327,<100 DM,<1 year,2,Female: divorced/separated/married,None,3,Real estate,25,None,Own,1,Unskilled resident,1,None,Yes,Bad
< 0 DM,12,No credits/all paid,New car,1082,<100 DM,1–4 years,4,Male: single,None,4,Car/other,48,Bank,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Existing paid duly,Radio/TV,886,Unknown/no savings,1–4 years,4,Female: divorced/separated/married,None,2,Car/other,21,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,4,Existing paid duly,Furniture/equipment,601,<100 DM,<1 year,1,Female: divorced/separated/married,None,3,Real estate,23,None,Rent,1,Unskilled resident,2,None,Yes,Good
< 0 DM,24,Critical/other existing credits,Used car,2957,<100 DM,>=7 years,4,Male: single,None,4,Building society/life insurance,63,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Critical/other existing credits,Radio/TV,2611,<100 DM,>=7 years,4,Male: married/widowed,Co-applicant,3,Real estate,46,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,36,Existing paid duly,Furniture/equipment,5179,<100 DM,4–7 years,4,Male: single,None,2,Building society/life insurance,29,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,21,Delay in past,Used car,2993,<100 DM,1–4 years,3,Male: single,None,2,Real estate,28,Stores,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,18,Existing paid duly,Repairs,1943,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Real estate,23,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,24,All paid,Business,1559,<100 DM,4–7 years,4,Male: single,None,4,Car/other,50,Bank,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,18,Existing paid duly,Furniture/equipment,3422,<100 DM,>=7 years,4,Male: single,None,4,Building society/life insurance,47,Bank,Own,3,Skilled employee/official,2,Yes,Yes,Good
0–200 DM,21,Existing paid duly,Furniture/equipment,3976,Unknown/no savings,4–7 years,2,Male: single,None,3,Car/other,35,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,18,Existing paid duly,New car,6761,Unknown/no savings,1–4 years,2,Male: single,None,4,Car/other,68,None,Rent,2,Skilled employee/official,1,None,Yes,Bad
No checking account,24,Existing paid duly,New car,1249,<100 DM,<1 year,4,Male: married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,9,Existing paid duly,Radio/TV,1364,<100 DM,4–7 years,3,Male: single,None,4,Real estate,59,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Radio/TV,709,<100 DM,>=7 years,4,Male: single,None,4,Real estate,57,Stores,Own,1,Unskilled resident,1,None,Yes,Bad
< 0 DM,20,Critical/other existing credits,New car,2235,<100 DM,1–4 years,4,Male: married/widowed,Guarantor,2,Building society/life insurance,33,Bank,Rent,2,Skilled employee/official,1,None,No,Bad
No checking account,24,Critical/other existing credits,Used car,4042,Unknown/no savings,4–7 years,3,Male: single,None,4,Building society/life insurance,43,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,15,Critical/other existing credits,Radio/TV,1471,<100 DM,1–4 years,4,Male: single,None,4,Unknown/no property,35,None,For free,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,18,All paid,New car,1442,<100 DM,4–7 years,4,Male: single,None,4,Unknown/no property,32,None,For free,2,Unskilled resident,2,None,Yes,Bad
No checking account,36,Delay in past,New car,10875,<100 DM,>=7 years,2,Male: single,None,2,Car/other,45,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
No checking account,24,Existing paid duly,New car,1474,100–500 DM,<1 year,4,Male: married/widowed,None,3,Real estate,33,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,10,Existing paid duly,Retraining,894,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,3,Building society/life insurance,40,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,15,Critical/other existing credits,Furniture/equipment,3343,<100 DM,1–4 years,4,Male: single,None,2,Unknown/no property,28,None,For free,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,15,Existing paid duly,New car,3959,<100 DM,1–4 years,3,Female: divorced/separated/married,None,2,Building society/life insurance,29,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,9,Existing paid duly,New car,3577,100–500 DM,1–4 years,1,Male: single,Guarantor,2,Real estate,26,None,Rent,1,Skilled employee/official,2,None,No,Good
No checking account,24,Critical/other existing credits,Used car,5804,>=1000 DM,1–4 years,4,Male: single,None,2,Real estate,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Delay in past,Business,2169,<100 DM,1–4 years,4,Male: married/widowed,None,2,Car/other,28,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,24,Existing paid duly,Radio/TV,2439,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Real estate,35,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,27,Critical/other existing credits,Furniture/equipment,4526,>=1000 DM,<1 year,4,Male: single,None,2,Real estate,32,Stores,Own,2,Unskilled resident,2,Yes,Yes,Good
No checking account,10,Existing paid duly,Furniture/equipment,2210,<100 DM,1–4 years,2,Male: single,None,2,Real estate,25,Bank,Rent,1,Unskilled resident,1,None,Yes,Bad
No checking account,15,Existing paid duly,Furniture/equipment,2221,500–1000 DM,1–4 years,2,Female: divorced/separated/married,None,4,Car/other,20,None,Rent,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Radio/TV,2389,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Car/other,27,Stores,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,12,Critical/other existing credits,Furniture/equipment,3331,<100 DM,>=7 years,2,Male: single,None,4,Building society/life insurance,42,Stores,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Existing paid duly,Business,7409,Unknown/no savings,>=7 years,3,Male: single,None,2,Building society/life insurance,37,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,652,<100 DM,>=7 years,4,Female: divorced/separated/married,None,4,Building society/life insurance,24,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Delay in past,Furniture/equipment,7678,500–1000 DM,4–7 years,2,Female: divorced/separated/married,None,4,Car/other,40,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
>= 200 DM,6,Critical/other existing credits,New car,1343,<100 DM,>=7 years,1,Male: single,None,4,Real estate,46,None,Own,2,Skilled employee/official,2,None,No,Good
< 0 DM,24,Critical/other existing credits,Business,1382,100–500 DM,4–7 years,4,Male: single,None,1,Real estate,26,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,15,Existing paid duly,Domestic appliances,874,Unknown/no savings,<1 year,4,Female: divorced/separated/married,None,1,Real estate,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Furniture/equipment,3590,<100 DM,1–4 years,2,Male: single,Co-applicant,2,Building society/life insurance,29,None,Own,1,Unskilled resident,2,None,Yes,Good
0–200 DM,11,Critical/other existing credits,New car,1322,>=1000 DM,1–4 years,4,Female: divorced/separated/married,None,4,Car/other,40,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,18,All paid,Radio/TV,1940,<100 DM,<1 year,3,Male: single,Co-applicant,4,Unknown/no property,36,Bank,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,36,Existing paid duly,Radio/TV,3595,<100 DM,>=7 years,4,Male: single,None,2,Car/other,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,9,Existing paid duly,New car,1422,<100 DM,<1 year,3,Male: single,None,2,Unknown/no property,27,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,30,Critical/other existing credits,Radio/TV,6742,Unknown/no savings,4–7 years,2,Male: single,None,3,Building society/life insurance,36,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Used car,7814,<100 DM,4–7 years,3,Male: single,None,3,Car/other,38,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,24,Existing paid duly,Used car,9277,Unknown/no savings,1–4 years,2,Male: divorced/separated,None,4,Unknown/no property,48,None,For free,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,30,Critical/other existing credits,New car,2181,Unknown/no savings,>=7 years,4,Male: single,None,4,Real estate,36,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,1098,<100 DM,Unemployed,4,Female: divorced/separated/married,None,4,Car/other,65,None,Own,2,Unemployed/unskilled non-resident,1,None,Yes,Good
0–200 DM,24,Existing paid duly,Furniture/equipment,4057,<100 DM,4–7 years,3,Male: divorced/separated,None,3,Car/other,43,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,12,Existing paid duly,Education,795,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,53,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,24,Critical/other existing credits,Business,2825,Unknown/no savings,4–7 years,4,Male: single,None,3,Unknown/no property,34,None,Own,2,Skilled employee/official,2,Yes,Yes,Good
0–200 DM,48,Existing paid duly,Business,15672,<100 DM,1–4 years,2,Male: single,None,2,Car/other,23,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,36,Critical/other existing credits,New car,6614,<100 DM,>=7 years,4,Male: single,None,4,Car/other,34,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,28,All paid,Used car,7824,Unknown/no savings,<1 year,3,Male: single,Guarantor,4,Real estate,40,Bank,Rent,2,Skilled employee/official,2,Yes,Yes,Good
< 0 DM,27,Critical/other existing credits,Business,2442,<100 DM,>=7 years,4,Male: single,None,4,Car/other,43,Stores,Own,4,Management/self-employed/highly qualified,2,Yes,Yes,Good
No checking account,15,Critical/other existing credits,Radio/TV,1829,<100 DM,>=7 years,4,Male: single,None,4,Car/other,46,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,12,Critical/other existing credits,New car,2171,<100 DM,1–4 years,4,Male: single,None,4,Building society/life insurance,38,Bank,Own,2,Unskilled resident,1,None,No,Good
0–200 DM,36,Critical/other existing credits,Used car,5800,<100 DM,1–4 years,3,Male: single,None,4,Car/other,34,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,1169,Unknown/no savings,1–4 years,4,Male: single,None,3,Building society/life insurance,29,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,36,Delay in past,Used car,8947,Unknown/no savings,4–7 years,3,Male: single,None,2,Car/other,31,Stores,Own,1,Management/self-employed/highly qualified,2,Yes,Yes,Good
< 0 DM,21,Existing paid duly,Radio/TV,2606,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,28,None,Rent,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Furniture/equipment,1592,>=1000 DM,4–7 years,3,Female: divorced/separated/married,None,2,Building society/life insurance,35,None,Own,1,Skilled employee/official,1,None,No,Good
No checking account,15,Existing paid duly,Furniture/equipment,2186,Unknown/no savings,4–7 years,1,Female: divorced/separated/married,None,4,Real estate,33,Bank,Rent,1,Unskilled resident,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,4153,<100 DM,1–4 years,2,Male: single,Co-applicant,3,Car/other,42,None,Own,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,16,Critical/other existing credits,New car,2625,<100 DM,>=7 years,2,Male: single,Guarantor,4,Building society/life insurance,43,Bank,Rent,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,20,Critical/other existing credits,New car,3485,Unknown/no savings,<1 year,2,Male: divorced/separated,None,4,Real estate,44,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,36,Critical/other existing credits,Used car,10477,Unknown/no savings,>=7 years,2,Male: single,None,4,Unknown/no property,42,None,For free,2,Skilled employee/official,1,None,Yes,Good
No checking account,15,Existing paid duly,Radio/TV,1386,Unknown/no savings,1–4 years,4,Male: married/widowed,None,2,Real estate,40,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,1278,<100 DM,>=7 years,4,Male: single,None,1,Real estate,36,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,12,Existing paid duly,Radio/TV,1107,<100 DM,1–4 years,2,Male: single,None,2,Real estate,20,None,Rent,1,Management/self-employed/highly qualified,2,Yes,Yes,Good
< 0 DM,21,Existing paid duly,New car,3763,Unknown/no savings,4–7 years,2,Male: single,Co-applicant,2,Real estate,24,None,Own,1,Unskilled resident,1,None,No,Good
0–200 DM,36,Existing paid duly,Education,3711,Unknown/no savings,1–4 years,2,Male: married/widowed,None,2,Car/other,27,None,Own,1,Skilled employee/official,1,None,Yes,Good
